Obs,CLINIC,YEAR,GENDERSP,TOTAL,Susceptible,TetI,PenI,PenI_TetI,TetR,TetR_PenI,PenR,PenR_TetI,PenR_TetR,CipI_PenI_TetI,TetR_CipI,AziRS_PenI_TetI,CipI_TetI,CipR_PenR_TetR,CipR_PenI_TetI,CipR_TetR_PenI,CipR_PenI,CipR_PenR_TetI,AziRS_CipR_PenR_TetR,PenR_CipI_TetI,PenR_TetR_CipI,CipR_PenR,TetR_CipI_PenI,AziRS_CipR_TetR_PenI,AziRS_TetR_PenI,AziRS_PenR_TetR,AziRS_PenR_TetI,CipI_PenI,CfxRS_CipR_PenR_TetR,CfxRS_PenI_TetI,AziRS,AziRS_TetI,AziRS_PenI,CfxRS_CipI_PenI_TetI,AziRS_CipR_PenI_TetI,CfxRS_TetR_PenI,CipR_TetI,CipI,AziRS_PenR,PenR_CipI,AziRS_TetR_CipI_PenI,CipR,CipR_TetR,AziRS_CipI_PenI_TetI,CfxRS_CipR_TetR_PenI,AziRS_TetR,AziRS_CipR_PenR_TetI,CroRS_CfxRS_CipR_PenR_TetR,CroRS_CfxRS_PenR_TetI,CfxRS_PenR_TetR
965,LAX,2015,MSMW,14,.,.,2,3,.,5,.,1,.,.,.,.,.,.,1,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
966,LAX,2015,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
967,LAX,2016,MSW,41,.,.,9,16,.,1,.,1,.,.,.,.,.,.,8,3,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
968,LAX,2016,MSM,65,.,.,1,10,.,9,.,6,.,.,.,3,.,1,14,3,.,13,.,.,.,.,.,2,1,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
969,LAX,2016,MSMW,16,.,.,1,9,.,.,.,.,.,.,.,.,.,1,2,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
970,LAX,2016,Oth/Unk/Missing,11,.,.,.,5,.,.,.,1,.,.,.,.,.,.,1,1,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
971,LAX,2017,MSW,53,3,.,8,22,.,3,.,2,.,.,.,.,.,1,6,2,.,5,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
972,LAX,2017,MSM,113,1,.,4,30,.,14,.,3,1,1,.,2,.,1,28,6,.,17,.,.,.,.,.,1,3,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
973,LAX,2017,MSMW,12,.,.,2,1,.,1,.,1,.,.,.,.,.,1,3,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
974,LAX,2017,Oth/Unk/Missing,21,.,.,1,6,.,1,.,2,.,1,.,.,.,.,5,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
975,LAX,2018,MSW,11,.,.,.,3,.,.,.,.,.,.,.,.,.,2,4,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
976,LAX,2018,MSM,118,.,.,7,23,.,16,.,3,1,2,.,3,.,7,36,3,.,10,.,.,.,.,.,3,2,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.
977,LAX,2018,MSMW,23,.,.,.,6,.,6,.,2,.,.,.,.,.,2,5,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
978,LAX,2018,Oth/Unk/Missing,8,.,.,.,2,.,1,.,.,.,.,.,1,.,1,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
979,LAX,2019,MSW,13,.,.,2,1,.,.,.,1,.,.,.,1,.,.,6,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
980,LAX,2019,MSM,105,1,.,12,22,.,4,.,.,.,.,.,4,.,12,26,5,1,6,.,.,7,.,.,2,2,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
981,LAX,2019,MSMW,31,1,.,1,3,.,1,.,.,1,.,.,.,.,6,9,1,.,2,.,.,1,.,.,1,2,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
982,LAX,2019,Oth/Unk/Missing,7,.,.,1,3,.,.,.,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
983,LBC,2000,MSW,70,1,5,8,36,.,13,.,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
984,LBC,2000,MSM,17,3,.,1,6,.,5,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
985,LBC,2000,MSMW,4,.,.,1,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
986,LBC,2000,Oth/Unk/Missing,2,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
987,LBC,2001,MSW,56,2,2,15,28,.,5,.,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
988,LBC,2001,MSM,33,3,.,6,18,.,1,.,2,.,1,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
989,LBC,2001,MSMW,9,1,.,2,3,.,1,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
990,LBC,2001,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
991,LBC,2002,MSW,58,3,2,13,29,.,5,.,3,1,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
992,LBC,2002,MSM,38,2,3,3,20,.,2,.,.,2,.,.,.,.,4,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
993,LBC,2002,MSMW,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
994,LBC,2003,MSW,55,3,.,12,30,.,1,.,.,.,.,.,.,.,8,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
995,LBC,2003,MSM,34,1,1,4,14,.,3,.,.,1,1,.,.,.,5,.,2,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
996,LBC,2003,MSMW,4,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
997,LBC,2004,MSW,55,8,.,12,23,.,4,.,1,.,.,.,.,.,1,4,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.
998,LBC,2004,MSM,44,2,1,6,15,.,3,.,.,.,.,.,.,.,8,3,2,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
999,LBC,2004,MSMW,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1000,LBC,2005,MSW,50,4,2,5,24,.,6,.,.,1,.,.,.,.,3,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1001,LBC,2005,MSM,41,1,2,1,12,1,4,.,2,3,.,.,.,.,7,2,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1002,LBC,2005,MSMW,6,.,3,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1003,LBC,2005,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1004,LBC,2006,MSW,34,4,.,7,12,.,3,.,1,.,.,.,.,.,2,1,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
1005,LBC,2006,MSM,21,.,.,1,5,.,4,.,.,2,.,.,.,.,4,2,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1006,LBC,2006,MSMW,5,.,.,.,2,.,1,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1007,LBC,2006,Oth/Unk/Missing,7,.,.,1,3,.,1,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1008,LBC,2007,MSW,31,4,.,2,14,.,2,.,.,.,.,.,.,.,5,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,1,.,.,.,.,.,.,.
1009,LBC,2007,MSM,31,1,1,1,11,.,5,.,1,1,1,.,.,.,4,1,3,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1010,LBC,2007,MSMW,6,.,.,.,2,.,1,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1011,LBC,2007,Oth/Unk/Missing,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1012,LVG,2002,MSW,50,11,1,17,20,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1013,LVG,2002,MSM,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1014,LVG,2002,MSMW,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1015,LVG,2003,MSW,252,23,15,63,136,.,6,.,1,2,.,.,1,.,.,3,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1016,LVG,2003,MSM,23,3,.,.,15,.,1,.,1,.,.,.,1,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1017,LVG,2003,MSMW,8,.,2,1,4,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1018,LVG,2003,Oth/Unk/Missing,3,.,.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1019,LVG,2004,MSW,252,26,15,54,141,.,10,.,1,1,.,.,2,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1020,LVG,2004,MSM,32,1,2,6,15,.,1,.,.,1,.,.,2,.,.,2,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1021,LVG,2004,MSMW,6,.,.,1,1,.,1,.,.,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1022,LVG,2004,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1023,LVG,2005,MSW,264,24,7,70,147,.,8,.,.,.,.,.,1,.,.,3,3,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1024,LVG,2005,MSM,26,1,.,3,6,.,6,.,.,.,.,.,2,.,.,2,3,1,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1025,LVG,2005,MSMW,5,.,.,1,1,.,.,.,.,.,.,.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1026,LVG,2006,MSW,268,31,4,70,132,.,12,.,2,.,.,.,.,.,6,4,5,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1027,LVG,2006,MSM,27,1,.,6,3,.,7,.,.,.,1,.,.,.,1,3,3,.,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1028,LVG,2006,MSMW,4,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1029,LVG,2006,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1030,LVG,2007,MSW,255,45,10,58,84,.,13,.,1,2,1,.,1,.,12,6,10,2,.,.,.,1,.,.,4,1,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2,.,.,.,.,.,.,.,.
1031,LVG,2007,MSM,38,.,1,7,9,.,5,.,.,.,.,.,.,.,9,2,3,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1032,LVG,2007,MSMW,7,.,.,.,2,.,.,.,.,.,.,.,.,.,3,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1033,LVG,2008,MSW,253,47,3,60,89,.,11,.,1,1,.,.,.,1,16,9,9,3,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1034,LVG,2008,MSM,38,2,.,7,11,.,2,.,.,.,.,.,.,.,9,2,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035,LVG,2008,MSMW,7,1,.,1,3,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1036,LVG,2008,Oth/Unk/Missing,2,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1037,LVG,2009,MSW,242,.,.,119,85,.,9,.,3,.,1,.,1,.,23,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1038,LVG,2009,MSM,47,.,.,11,23,.,2,.,2,.,.,.,.,.,3,1,3,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1039,LVG,2009,MSMW,8,.,.,1,4,.,1,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1040,LVG,2009,Oth/Unk/Missing,3,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1041,LVG,2010,MSW,236,.,.,102,102,.,6,.,7,2,.,.,.,.,14,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1042,LVG,2010,MSM,54,.,.,13,28,.,9,.,1,.,.,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1043,LVG,2010,MSMW,10,.,.,1,5,.,1,.,.,.,.,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1044,LVG,2011,MSW,206,.,.,90,84,.,13,1,2,.,.,.,.,.,6,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1045,LVG,2011,MSM,75,.,.,15,36,.,12,.,.,.,.,.,.,.,6,1,3,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1046,LVG,2011,MSMW,10,.,.,2,4,.,2,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1047,LVG,2012,MSW,172,.,.,57,64,.,13,.,3,1,.,.,1,.,5,11,8,1,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1048,LVG,2012,MSM,74,.,.,12,30,.,6,.,4,.,.,.,.,.,4,5,12,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1049,LVG,2012,MSMW,7,.,.,1,3,.,.,.,.,.,.,.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1050,LVG,2013,MSW,190,.,.,40,69,.,25,.,2,.,1,.,.,.,6,23,17,.,2,1,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1051,LVG,2013,MSM,94,.,.,20,34,.,7,.,4,1,.,.,.,.,6,6,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1052,LVG,2013,MSMW,16,.,.,3,4,.,3,.,1,.,.,.,.,.,.,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1053,LVG,2014,MSW,208,.,.,38,103,.,17,.,11,2,.,.,.,.,3,4,19,.,7,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1054,LVG,2014,MSM,78,.,.,12,25,.,7,.,15,1,1,.,1,.,1,3,10,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1055,LVG,2014,MSMW,14,.,.,2,5,.,1,.,1,.,1,.,1,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1056,LVG,2015,MSW,169,.,.,29,80,.,20,.,4,1,2,.,.,.,4,20,6,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1057,LVG,2015,MSM,112,.,.,8,37,.,24,.,1,.,2,.,1,.,9,6,14,.,6,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1058,LVG,2015,MSMW,19,.,.,1,7,.,1,.,1,.,.,.,.,.,1,.,5,.,2,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1059,LVG,2016,MSW,169,.,.,19,78,.,20,.,1,1,.,.,2,.,7,26,7,1,5,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.
1060,LVG,2016,MSM,111,.,.,6,33,.,26,.,5,.,.,.,2,.,7,15,5,.,6,.,.,.,.,1,.,4,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1061,LVG,2016,MSMW,20,.,.,.,7,.,8,.,.,.,1,.,.,.,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1062,LVG,2017,MSW,174,6,1,17,66,1,22,.,4,1,.,.,.,.,4,25,7,1,12,.,.,1,.,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
1063,LVG,2017,MSM,100,.,.,6,36,.,20,.,1,.,1,.,.,.,1,18,5,.,6,.,.,.,.,.,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1064,LVG,2017,MSMW,26,.,.,1,6,.,4,.,.,.,.,.,1,.,.,6,1,.,4,.,.,.,1,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1065,LVG,2018,MSW,183,7,2,14,51,.,26,3,9,5,6,.,1,.,2,19,8,.,24,.,.,1,.,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1066,LVG,2018,MSM,79,.,.,6,14,.,18,.,1,.,1,.,.,.,2,13,2,2,9,.,.,.,1,1,4,3,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
1067,LVG,2018,MSMW,18,.,1,1,3,.,5,.,.,2,1,.,.,.,.,2,.,.,2,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1068,LVG,2018,Oth/Unk/Missing,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1069,LVG,2019,MSW,171,9,4,11,65,.,25,.,.,.,1,.,.,.,4,24,8,1,13,.,.,1,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.
1070,LVG,2019,MSM,61,.,.,4,12,.,11,1,2,.,.,.,.,.,3,10,4,5,3,.,1,2,.,.,.,2,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1071,LVG,2019,MSMW,8,.,.,.,1,.,1,.,.,.,.,.,.,.,3,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1072,LVG,2019,Oth/Unk/Missing,6,.,.,.,3,.,1,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1073,MIA,2000,MSW,180,1,2,10,128,.,15,.,2,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1074,MIA,2000,MSM,13,.,.,.,7,.,2,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1075,MIA,2000,MSMW,3,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1076,MIA,2000,Oth/Unk/Missing,3,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1077,MIA,2001,MSW,191,1,.,12,148,.,7,.,5,17,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1078,MIA,2001,MSM,24,.,.,1,13,.,6,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
